#deck:k8s-platform-labs::02-deployments::03-deployment-strategies
#separator:Comma
#columns:Front,Back,Tags
"What makes a Service's Endpoints list update instantly when you change its selector?","Kubernetes continuously recomputes Endpoints from the selector against currently Ready, matching pods — this is the entire mechanism behind Blue-Green's instant switch","demo03-deployments,services,endpoints,cka-services-networking"
"Why does Blue-Green require no changes to either Deployment when switching traffic?","Only the Service's selector changes — both Deployments keep running unmodified the whole time","demo03-deployments,blue-green,ckad-application-deployment"
"Is a Service's spec.selector immutable, like a Deployment's?","No — a Service's selector is freely mutable at any time; this asymmetry is exactly what makes Blue-Green's instant switch possible","demo03-deployments,services,immutability,cka-services-networking"
"In a Service's ports block, what's the difference between port and targetPort?","port is what the Service exposes to clients; targetPort is the port on the Pod that traffic is actually forwarded to — they don't have to match","demo03-deployments,services,ports,cka-services-networking"
"What happens if a Service's targetPort doesn't match the port the container actually listens on?","Requests silently fail (hang or connection-refuse) — there's no apply-time error, since the mismatch is only a runtime problem","demo03-deployments,services,troubleshooting,cka-troubleshooting"
"Why is Canary traffic split only approximate?","It's driven by pod-count ratio and round-robin load balancing, not a guaranteed percentage","demo03-deployments,canary,ckad-application-deployment"
"Does a pod that matches a Service's selector but isn't Ready receive traffic?","No — only Ready pods become Endpoints, regardless of label match","demo03-deployments,services,endpoints,cka-services-networking"
"Does relabeling a Deployment's metadata.labels change its Pods' labels?","No — metadata.labels on the Deployment and spec.template.metadata.labels on its Pods are separate, and the Pod-affecting one is immutable","demo03-deployments,immutability,ckad-application-deployment"
"What happens if a Service selector has a typo'd key (e.g. versoin instead of version)?","It's valid YAML, so it's silently accepted — but it matches zero pods, with no error pointing at the cause","demo03-deployments,services,troubleshooting,cka-troubleshooting"
"What's the real resource cost of Blue-Green's instant rollback capability?","Roughly 2x compute — both full environments run simultaneously for the overlap window","demo03-deployments,blue-green,cka-workloads-scheduling"
"What does native Kubernetes Service-based canary lack compared to a tool like Argo Rollouts?","Precise traffic percentages, automated metric analysis, and automatic rollback — everything here was done manually","demo03-deployments,argo-rollouts,ckad-application-deployment"
"Why does Canary's Service selector omit the track label entirely?","So it matches Pods from both the stable and canary Deployments simultaneously, instead of picking just one — that omission is the entire Canary mechanism","demo03-deployments,canary,services,cka-services-networking"
