#deck:k8s-platform-labs::11-auto-scaling::01-hpa-basic
#separator:Comma
#columns:Front,Back,Tags
"What is cAdvisor and where does it run?","cAdvisor (container Advisor) is an open-source agent embedded directly inside every kubelet process — not a separate Deployment. It reads container CPU and memory usage from the Linux cgroup filesystem, aggregates per container, and exposes the data at the kubelet's /metrics/resource endpoint. It stores nothing — it is a live snapshot reader only.","01-hpa-basic,cadvisor,architecture"
"Why does cAdvisor read from cgroups instead of /proc?","/proc gives a process-level view tied to a specific PID and cannot aggregate all processes in a container. cgroups groups all processes in a container into a hierarchy — reading the cgroup gives the TOTAL usage of ALL processes inside the container. A forking application with PIDs 1, 10, 11, 12 would show only PID 1 via /proc but ALL four combined via cgroup.","01-hpa-basic,cadvisor,cgroups"
"How long does cAdvisor retain metrics?","Zero retention. cAdvisor is a live reader — every time metrics-server calls the kubelet endpoint, cAdvisor reads current cgroup values and returns them. No historical buffer, no rolling window. For historical data, use Prometheus.","01-hpa-basic,cadvisor,retention"
"What is metrics-server and what does it aggregate?","metrics-server is a cluster addon (Deployment in kube-system) that scrapes cAdvisor data from every node's /metrics/resource endpoint every 60 seconds. It aggregates: per-container data → PodMetrics (pod-level + container breakdown); pod data → NodeMetrics (node-level). Exposes via metrics.k8s.io API. Retains only the most recent sample per pod — not a time-series database.","01-hpa-basic,metrics-server,architecture"
"What is working set memory, and why does kubectl top use it instead of RSS?","Working set = RSS minus recently-used-but-releasable file cache = memory the container genuinely needs right now. RSS overstates committed memory because it includes idle file cache that the kernel would release under memory pressure. Working set is more meaningful for HPA decisions (avoids false scale-out from idle cache) and matches OOMKill triggering (OOMKill is based on working set, not RSS).","01-hpa-basic,metrics-server,working-set"
"What are NodeMetrics and PodMetrics?","Two resource kinds exposed by metrics-server via the metrics.k8s.io API. NodeMetrics (cluster-scoped): CPU and memory per node — queried by kubectl top nodes. PodMetrics (namespace-scoped): CPU and memory per pod with per-container breakdown — queried by kubectl top pods. Not stored CRDs — each request returns a fresh live read from metrics-server's in-memory store.","01-hpa-basic,metrics-server,api-resources"
"What is the HPA scaling formula?","desiredReplicas = ceil[currentReplicas × (currentMetricValue / desiredMetricValue)]. Example: 1 replica, CPU at 115%, target 50%: ceil[1 × (115/50)] = ceil[2.3] = 3. The formula applies the same way for CPU%, memory%, and custom metrics using AverageValue.","01-hpa-basic,hpa,formula"
"What is the HPA 10% tolerance and why does it exist?","HPA does not scale if the metric ratio (current/target) is within 10% of 1.0 — i.e. between 0.9 and 1.1. This prevents flapping: a metric that oscillates around the target would otherwise trigger constant scale-up and scale-down events. Example: target 50%, current 54% — ratio = 1.08, within tolerance, no scaling. Current 56%: ratio = 1.12, outside tolerance, scale-up triggered.","01-hpa-basic,hpa,tolerance"
"What does HPA do when multiple metrics are configured?","HPA evaluates each metric independently and takes the MAXIMUM desired replica count across all of them. Example: CPU suggests 3 replicas, memory suggests 1 replica — HPA targets 3. Safety rule: if ANY metric is unavailable AND suggests scale-down, scaling is skipped entirely (safe default). If ANY metric is unavailable AND suggests scale-up, scale-up proceeds using available metrics only.","01-hpa-basic,hpa,multiple-metrics"
"What is the scale subresource and why does HPA use it?","The scale subresource is a /scale sub-path on a workload's API endpoint (e.g. /apis/apps/v1/namespaces/default/deployments/nginx-deploy/scale) that contains only the replica count and selector — not the full spec. HPA updates ONLY the scale subresource, never the full Deployment spec. This keeps changes lightweight and is why `kubectl get deployment -o yaml` shows updated replicas even though HPA never modified the YAML.","01-hpa-basic,hpa,scale-subresource"
