#deck:k8s-platform-labs::12-rbac::03-advanced-policyrules-and-subjects
#separator:Comma
#columns:Front,Back,Tags
"A Role has three rules. Can the second rule narrow or override what the first grants?","No. Rules within a Role don't interact — each is evaluated independently, and effective access is the union of all of them.","advanced-policyrules,multi-rule,cka-cluster-architecture-installation-configuration"
"When would you use resourceNames instead of granting access to a whole resource type?","When access should be limited to one or a few specific named objects, not every object of that type — resourceNames narrows a grant below resource-type-level scoping.","advanced-policyrules,resourcenames,ckad-application-environment-configuration-security"
"Why can't resourceNames be combined meaningfully with the create verb?","At create time the object doesn't exist yet, so there's no name for the API server to check the request against. The combination isn't rejected, but has no restrictive effect on create.","advanced-policyrules,resourcenames,cka-cluster-architecture-installation-configuration"
"What's the actual difference between a User subject and a Group subject in a RoleBinding, given both are just strings?","User matches the request's username; Group matches its group membership list. Same field shape (a plain string), different part of the identity being matched.","advanced-policyrules,subjects,groups,cka-cluster-architecture-installation-configuration"
"Why is binding to a Group preferable to listing five individual Users in a RoleBinding's subjects for a five-person team?","Because Group membership is managed entirely at the authentication layer — the RoleBinding itself never needs editing as people join or leave the team, unlike a subjects list of individual Users.","advanced-policyrules,groups,best-practice,ckad-application-environment-configuration-security"
"What is the system: prefix reserved for in Kubernetes Group names?","Kubernetes' own internal groups — system:masters, system:authenticated, system:unauthenticated, and others tied to core cluster trust. Custom groups should never use this prefix.","advanced-policyrules,groups,system-prefix,cka-cluster-architecture-installation-configuration"
"You edit a Role's YAML, fixing one rule, and reapply. A permission from a DIFFERENT rule that wasn't touched is now gone. Why?","kubectl apply replaces the entire rules list with the file's contents — it's not an additive merge. If the edit accidentally dropped a rule, that grant disappears silently on apply.","advanced-policyrules,kubectl-apply,cka-troubleshooting"
"Does kubectl auth can-i --as-group work without also specifying --as?","No. --as-group requires --as to also be set — impersonating a group with no impersonated user is not a valid combination.","advanced-policyrules,as-group,impersonation,cka-troubleshooting"
"A RoleBinding sets kind: User with name: platform-team, but platform-team is meant to be a Group. What happens?","It creates successfully with no error, but grants nothing to anyone using --as-group=platform-team — the binding is checking the username field, not the group membership field, even though the string is spelled correctly.","advanced-policyrules,subjects,groups,cka-troubleshooting"
"Can kubectl create role set resourceNames imperatively?","No. resourceNames has no imperative flag — generating a skeleton with --dry-run=client -o yaml and then hand-editing it to add resourceNames is always required.","advanced-policyrules,imperative-commands,resourcenames,cka-cluster-architecture-installation-configuration"
"A Role's resourceNames entry has a typo — it lists pipleine-config instead of the real ConfigMap pipeline-config. Does kubectl apply catch this?","No. resourceNames is matched by exact string equality against the object's actual name, with no validation that a matching object exists. The rule applies cleanly; the only symptom is that a can-i check against the real object name returns no, identical to the rule never having been written.","advanced-policyrules,resourcenames,troubleshooting,cka-troubleshooting"
"When should multiple PolicyRules live in one Role versus being split across separate Roles bound independently?","Combine them when the rules genuinely belong to one responsibility/identity. Use separate Roles when the rules represent conceptually different jobs that might need to be granted or revoked independently later — there's no mechanical difference in effect, it's purely a maintainability choice.","advanced-policyrules,multi-rule,best-practice,cka-cluster-architecture-installation-configuration"
"What's the imperative flag for binding a RoleBinding to a Group instead of a User?","--group=GROUP_NAME on kubectl create rolebinding, e.g. kubectl create rolebinding NAME --role=ROLE --group=GROUP -n NAMESPACE — distinct from --user= and --serviceaccount=, and combinable with either in the same call.","advanced-policyrules,groups,imperative-commands,ckad-application-environment-configuration-security"
"What's the difference between what a Role's namespace scope restricts and what resourceNames restricts, given both are forms of narrowing?","Namespace scope restricts WHICH NAMESPACE the grant applies to at all — a Role can't reach outside it regardless of resourceNames. resourceNames then further restricts WHICH SPECIFIC NAMED OBJECT within that already-namespace-scoped grant is covered. They compose rather than substitute for each other.","advanced-policyrules,resourcenames,namespace-scope,cka-cluster-architecture-installation-configuration"
