#deck:k8s-platform-labs::11-auto-scaling::03-vpa-fundamentals
#separator:Comma
#columns:Front,Back,Tags
"You run `kubectl describe vpa` and see three components mentioned in cluster events: Recommender, Updater, Admission Controller. What does the Recommender actually do?","It watches historical and current resource usage (via metrics-server/cAdvisor) and calculates suggested CPU/memory requests, writing them to the VPA object's status — it never changes a running pod by itself.","demo03,vpa,recommender"
"Your VPA is in Recreate mode and the Target recommendation changes. What actually causes the pod to update?","The Updater component evicts the pod via the Kubernetes Eviction API (respecting any PodDisruptionBudget) so the owning controller recreates it with the new resource values — the Recommender only calculates, it doesn't act.","demo03,vpa,updater,eviction-api"
"You set a VPA's updateMode: Recreate on a Deployment that also has a PDB with minAvailable: 100%. What happens when the VPA tries to apply a new recommendation?","The Updater's eviction request is blocked by the Eviction API respecting the PDB — the pod is never evicted, so the new resource values are never applied until the PDB allows an eviction.","demo03,vpa,pdb,eviction-api"
"What does the Admission Controller component of VPA do, and when does it act?","It intercepts pod creation requests (via a mutating webhook) and rewrites the pod's resources.requests/limits to match the VPA's current recommendation at the moment the pod is created — it never touches an already-running pod.","demo03,vpa,admission-controller"
"List the four VPA updateMode values in order from least to most disruptive, and note which one is deprecated.","Off (recommend only, no action) then Initial (apply only at pod creation) then Recreate (evict + recreate whenever recommendation changes) then InPlaceOrRecreate (attempts in-place resize first, falls back to recreate). Auto is deprecated — do not use it.","demo03,vpa,update-modes"
"kubectl describe vpa shows Target: cpu=50m and Uncapped Target: cpu=200m for a container. What does the gap between these two values tell you?","maxAllowed in the VPA's resourcePolicy is capping the recommendation — the Recommender actually wants 200m based on usage data, but the configured ceiling limits what it reports as the applied Target.","demo03,vpa,target,uncapped-target"
"Why does a VPACheckpoint object exist, and do you need to create or manage it manually?","It's an internal object the VPA Recommender auto-creates and updates to persist historical usage data across Recommender restarts — fully auto-managed, never created or edited manually.","demo03,vpa,vpacheckpoint"
"You apply a VPA with targetRef pointing directly at a standalone Pod (not a Deployment). What's the practical problem in Recreate mode?","There's no controller to recreate the pod after the Updater evicts it — the pod is simply deleted and never comes back. VPA needs a controller (Deployment, even with replicas: 1) to be usable in Recreate mode.","demo03,vpa,standalone-pod,limitation"
"A container has no resources.requests set at all. You apply a VPA in Off mode and it reports a valid Target recommendation. Is the workload safe from eviction under node memory pressure?","No — with no resources.requests, the pod's QoS class is BestEffort, making it the first candidate for eviction under node memory pressure, regardless of what the VPA recommends. A valid Target doesn't change the pod's actual QoS until that recommendation is applied.","demo03,vpa,resources-requests,qos,best-effort"
"A Deployment has an HPA scaling on CPU utilization and a VPA in Recreate mode also targeting CPU on the same Deployment. What's the failure pattern?","Both tools are reacting to the same CPU signal — VPA changes the CPU request (which shifts the utilization percentage HPA calculates), and HPA's replica changes shift per-pod load (which shifts what VPA recommends next). The result is replica count oscillating without any real load change.","demo03,vpa,hpa,conflict"
"You need to demonstrate why HPA and VPA conflict on the same metric, but you don't want the demo pod to actually get evicted repeatedly. Which VPA mode do you use for the conflict demo, and why?","Off mode — it lets you observe the VPA's recommendation drifting in response to HPA's replica changes (via kubectl describe vpa) without VPA taking any disruptive action, making the conflict visible without added instability.","demo03,vpa,hpa,conflict,off-mode"
"How does HPA change pod count, and how does that differ mechanically from how VPA Recreate mode changes pod resources?","HPA changes the Deployment's replicas field — the ReplicaSet controller then directly creates or deletes pods to match, with no eviction involved. VPA Recreate mode instead evicts an existing pod via the Eviction API (respecting PDBs) so the controller recreates it with new resource values — same pod count, different resources.","demo03,vpa,hpa,mechanics"
"What's the practical difference between VPA's Recreate mode and the beta InPlaceOrRecreate mode in terms of pod disruption?","Recreate always evicts and recreates the pod to apply new resource values, causing a brief restart every time. InPlaceOrRecreate first attempts an in-place resize (no restart) and only falls back to evict-and-recreate if the in-place resize isn't possible.","demo03,vpa,inplace-or-recreate"
"In kubectl describe vpa output, what do the Lower Bound and Upper Bound values represent, separately from Target?","Lower Bound and Upper Bound define the range the Recommender considers acceptable without triggering an update — Target only changes (triggering Updater action in Recreate mode) once actual usage moves outside this range, not on every minor fluctuation.","demo03,vpa,lower-bound,upper-bound"
"Why can't a single Pod object (created directly, not via a Deployment) benefit from VPA's Initial mode either?","Initial mode only applies the recommendation at pod creation time via the Admission Controller webhook — but a standalone pod, once created, is never recreated by anything if deleted, so there's no future creation event for Initial mode to apply to after the first one.","demo03,vpa,initial-mode,standalone-pod"
