#deck:k8s-platform-labs::01-core-concepts::03-pod-container-basics
#separator:Comma
#columns:Front,Back,Tags
"Is a Pod restarting the same thing as a container inside it restarting?","No — the Pod object itself is untouched (same IP, same UID); only the container instance is new","demo03,pods,ckad-application-design-build"
"What is the pause container's job?","It's the first container kubelet creates for a Pod — it claims the network/IPC/UTS namespaces first, then your containers join them","demo03,internals,pause-container,cka-cluster-architecture-installation-configuration"
"Which namespaces are shared between containers in a Pod by default, and which aren't?","Network, IPC, and UTS are shared by default; PID is NOT shared by default (opt-in via shareProcessNamespace); mount is never shared; each container gets its own cgroup for accounting","demo03,internals,namespaces,cka-cluster-architecture-installation-configuration"
"Why does a shared volume not mean containers see one shared filesystem?","Each container still has its own separate mount namespace — a shared volume is the same volume bind-mounted separately into each container's own isolated view","demo03,internals,volumes,cka-cluster-architecture-installation-configuration"
"What does command override, and what does args override?","command overrides the image's ENTRYPOINT; args overrides the image's CMD","demo03,containers,entrypoint-cmd,ckad-application-design-build"
"Can an admission controller change your Pod's resources.requests before scheduling?","Yes — if a LimitRange exists in the namespace, the LimitRanger admission controller can inject default requests/limits before the Pod is ever scheduled","demo03,admission-control,resources,cka-cluster-architecture-installation-configuration"
"Does containerPort actually open a port or configure a firewall rule?","No — it's informational only. A container is reachable on any port it listens on regardless of what's declared here","demo03,containers,networking,cka-services-networking"
"Is kube-proxy involved in creating a Pod's network namespace?","No — kube-proxy's only job is Service routing (writing iptables/IPVS rules); it plays no role in individual pod creation or pod-to-pod networking","demo03,kube-proxy,networking,cka-services-networking"
"Do CPU limits only help, with no downside?","No — they prevent noisy-neighbor problems but can throttle your own container even when the node has spare CPU capacity","demo03,resources,cka-workloads-scheduling"
"What does READY: 0/1 mean if STATUS shows Running?","The container process is running, but it's failing its readiness probe — READY and STATUS are separate signals","demo03,debugging,ckad-application-observability-maintenance"
"What are the five Pod phases?","Pending, Running, Succeeded, Failed, Unknown","demo03,pod-phases,cka-workloads-scheduling"
"What does ImagePullBackOff mean vs CrashLoopBackOff?","ImagePullBackOff = kubelet can't pull the image (registry/tag problem); CrashLoopBackOff = the container starts but keeps exiting (application problem)","demo03,troubleshooting,ckad-application-observability-maintenance"
"How is a pod's QoS class calculated?","Guaranteed = requests==limits for every resource, every container. BestEffort = no requests/limits set at all. Burstable = anything in between","demo03,qos,resources,cka-workloads-scheduling"
"What order does Kubernetes evict pods under node memory pressure?","BestEffort first, then Burstable, then Guaranteed last","demo03,qos,eviction,cka-workloads-scheduling"
"Does a container run as root by default?","Yes, unless securityContext (runAsUser/runAsNonRoot) says otherwise","demo03,security,securitycontext,ckad-application-environment-configuration-security"
"What actually happens when you run kubectl delete pod?","The pod enters Terminating, kubelet sends SIGTERM, and only after terminationGracePeriodSeconds elapses without exit does kubelet send SIGKILL","demo03,pod-lifecycle,cka-workloads-scheduling"
"Why are pod IPs considered ephemeral?","A recreated pod gets a new IP — this is exactly why Services exist, to provide a stable address","demo03,pods,networking,ckad-services-networking"
"What happens if you delete a naked pod (no controller)?","Nothing recreates it — it's simply gone. Only a controller notices and recreates pods","demo03,pods,controllers,ckad-application-deployment"
"A label-selector query returns nothing. Does that mean the object doesn't exist?","Not necessarily — check for a label typo before assuming nothing was created; the object could be running under an unexpected label","demo03,troubleshooting,cka-troubleshooting"
"What flag makes a one-shot debug pod delete itself automatically?","--rm, combined with --restart=Never -it","demo03,debugging,ckad-application-observability-maintenance"
"Do kubectl run --requests and --limits flags still work?","No — both were deprecated around kubectl 1.20 and removed entirely by 1.24. Use --dry-run=client -o yaml, edit the resources block, then apply","demo03,kubectl,imperative,ckad-application-design-build"
"What's the exponential backoff sequence for CrashLoopBackOff, and when does it reset?","10s, 20s, 40s, 80s, 160s, capped at 5 minutes; resets to 10s after 10 consecutive minutes of the container staying up","demo03,troubleshooting,crashloopbackoff,ckad-application-observability-maintenance"
