#deck:k8s-platform-labs::03-services::02-service-internals
#separator:Comma
#columns:Front,Back,Tags
"Does kube-proxy process every packet sent to a Service?","No — it only programs iptables/nftables/IPVS rules; the kernel handles all actual packet forwarding using those rules","demo02-services,kube-proxy,cka-services-networking"
"What replaced the deprecated Endpoints API?","EndpointSlices — multiple slices per Service (up to 100 endpoints each), with dual-stack support and readiness/topology tracking the old API lacked","demo02-services,endpointslices,cka-services-networking"
"For a Service WITH a selector, is its EndpointSlice self-healing if deleted?","Yes — the endpointslice-controller continuously reconciles it against the selector and currently-Ready pods, and recreates it almost immediately","demo02-services,endpointslices,self-healing,cka-services-networking"
"For a selectorless Service, is its manually-created EndpointSlice self-healing?","No — nothing reconciles it automatically; you're fully responsible for keeping it accurate yourself","demo02-services,endpointslices,selectorless,cka-services-networking"
"Does deleting a kube-proxy pod interrupt existing Service routing on that node?","No — the iptables rules it already programmed stay in place; kube-proxy isn't in the data path, only the rule-programming path","demo02-services,kube-proxy,cka-services-networking"
"Why does kube-proxy run on the control-plane node despite the scheduling taint there?","It's a DaemonSet with its own toleration for the control-plane taint — taints only block pods that don't explicitly tolerate them","demo02-services,kube-proxy,taints,cka-cluster-architecture-installation-configuration"
"What does Ready: false on an EndpointSlice entry mean for that pod?","It's excluded from load balancing — matching the Service's selector alone isn't enough, only Ready endpoints receive traffic","demo02-services,endpointslices,readiness,cka-services-networking"
"How does iptables achieve roughly equal load distribution across 3 pod endpoints?","Cascading statistic-mode probabilities: 0.333 for the first, 0.500 of the remainder for the second, everything left for the third — netting out to roughly 1/3 each","demo02-services,iptables,load-balancing,cka-services-networking"
"If every backend pod returns identical response text, does that prove load balancing isn't working?","No — it just means you can't observe it from response content; distinguishing data per pod (like an injected pod name) is needed to actually verify routing","demo02-services,load-balancing,debugging,cka-troubleshooting"
"What kube-proxy modes exist on Linux, and what is ipvs's current status?","iptables, nftables, and ipvs — ipvs was formally deprecated in Kubernetes v1.35; nftables is the currently recommended mode for new clusters on modern kernels","demo02-services,kube-proxy,cka-services-networking"
