#deck:k8s-platform-labs::01-core-concepts::01-cluster-architecture
#separator:Comma
#columns:Front,Back,Tags
"What's the single most important architectural rule about etcd access in Kubernetes?","kube-apiserver is the ONLY component that reads from or writes to etcd — every other component (scheduler, controllers, kubelets) only ever talks to the apiserver, never etcd directly.","demo01,architecture,etcd,apiserver"
"List the five things kube-apiserver does to every incoming request, in order.","1) Authentication (who is this?) 2) Authorization (are they allowed?) 3) Admission control (mutate/reject) 4) Validation (is the spec valid?) 5) Persistence (write to etcd), then notify watchers.","demo01,apiserver,pipeline"
"How many etcd members are needed to tolerate 2 node failures, and why?","5 members. Quorum requires a majority; with 5 members, quorum is 3 — losing 2 still leaves 3 available. The formula is floor(N/2) tolerated failures.","demo01,etcd,quorum,raft"
"What are the two phases of kube-scheduler's decision process for each unscheduled pod?","Filtering (eliminate nodes that CANNOT run the pod — insufficient resources, untolerated taints, failed required affinity) then Scoring (rank the remaining nodes and pick the best one).","demo01,scheduler"
"What does kube-scheduler actually DO once it picks a node for a pod — does it start the pod?","No — it only writes spec.nodeName to the Pod object via the apiserver. The kubelet on that node notices the assignment and does the actual work of starting the pod.","demo01,scheduler,kubelet"
"Describe the generic controller pattern that every built-in controller in kube-controller-manager follows.","WATCH current state via the apiserver, COMPARE it to desired state (the spec), ACT to reconcile any difference — repeated continuously.","demo01,controller-manager,reconcile-loop"
"Why do static pods exist — what problem do they solve?","They solve Kubernetes' bootstrap chicken-and-egg problem: control plane components like kube-apiserver are themselves pods, but pods normally need a working apiserver to be scheduled. Static pods are read directly from a local manifest directory by kubelet, with no apiserver involved, breaking the circular dependency.","demo01,static-pods"
"Where does kubelet look for static pod manifests, and how can you recognize a static pod in kubectl get pods?","/etc/kubernetes/manifests/ on the node's filesystem. Static pods show up as mirror pods with the node name appended as a suffix, e.g. etcd-3node.","demo01,static-pods,kubelet"
"Is kubelet itself a Kubernetes pod?","No — kubelet is the one Kubernetes component that runs directly as a systemd service on the node, not as a pod. It's what starts every other pod, including the static pods that make up the control plane.","demo01,kubelet"
"What is the CRI, and why does it matter that kubelet uses it instead of running containers directly?","CRI (Container Runtime Interface) is the API kubelet calls to pull images and start/stop containers — it never talks to the container runtime directly. This decouples Kubernetes from any specific runtime; containerd, CRI-O, etc. can all implement the same CRI API.","demo01,kubelet,cri,containerd"
"Name the three kube-proxy modes and which is newest.","iptables (default), IPVS (faster/more scalable using Linux IPVS), and nftables (new in Kubernetes 1.31, replaces iptables). All three implement the same job: translating Service ClusterIPs to real Pod IPs.","demo01,kube-proxy"
"Does kube-proxy proxy application-layer traffic itself?","No — kube-proxy only writes kernel-level networking rules (iptables/IPVS/nftables). The kernel actually forwards the packets; kube-proxy never touches the traffic itself.","demo01,kube-proxy,networking"
"In the full kubectl apply request lifecycle, what's the very first thing that happens after kube-apiserver persists the new Deployment to etcd?","The Deployment controller (running inside kube-controller-manager) notices the new Deployment via its watch on the apiserver, and creates a ReplicaSet with the desired replica count.","demo01,request-lifecycle,deployment-controller"
"In the request lifecycle, at what point does the container actually start running?","Only after: apiserver persists the object, Deployment controller creates a ReplicaSet, ReplicaSet controller creates Pod objects (unscheduled), kube-scheduler assigns a node — THEN kubelet on that node pulls the image via containerd and starts the container.","demo01,request-lifecycle,kubelet"
"If kube-controller-manager goes down, does an already-running Deployment's existing pods get deleted?","No — pods that are already running are managed by kubelet independently and keep running. What breaks is the cluster's ability to reconcile: no new ReplicaSets, no rolling updates, no self-healing if a pod crashes.","demo01,controller-manager,failure-impact"
"What does CoreDNS do, and what breaks cluster-wide if it goes down versus what still works?","CoreDNS provides DNS resolution for all Services and Pods — every pod's /etc/resolv.conf points to it. If it goes down, name-based resolution fails everywhere, but pods that are already running keep running; only DNS lookups (not existing connections) are affected.","demo01,coredns,add-ons"
