#deck:k8s-platform-labs::12-rbac::01-rbac-fundamentals
#separator:Comma
#columns:Front,Back,Tags
"You run kubectl auth can-i get pods -n ci --as=ci-pipeline and get 'no', even though you're sure you created a RoleBinding. What's the single most likely cause?","The RoleBinding's roleRef.name doesn't match an existing Role's name (typo). kubectl apply succeeds on a RoleBinding with a bad roleRef with no error — it applies cleanly but grants nothing. Verify with kubectl get role -n ci and compare exactly.","rbac-fundamentals,rolebinding,troubleshooting,cka-cluster-architecture-installation-configuration,ckad-application-environment-configuration-security"
"A Role's rule has verbs: [""get""] only. kubectl get pods (no name) still fails for that subject even though single-Pod fetches work. Why?","list and watch are not implied by get. 'kubectl get pods' with no name performs a list call under the hood, which was never granted. All three verbs are usually needed together.","rbac-fundamentals,policyrule,verbs,cka-cluster-architecture-installation-configuration,ckad-application-environment-configuration-security"
"A Role rule uses apiGroups: [""core""] for a Pods rule, and the grant silently matches nothing. What's wrong?","The core API group's correct value is the empty string """", not the literal word ""core"". ""core"" is an informal label, not the actual apiGroup identifier — Kubernetes accepts any string in apiGroups without validating it exists.","rbac-fundamentals,policyrule,apigroups,cka-cluster-architecture-installation-configuration"
"You need a subject to read Pod logs, and you've granted resources: [""pods""] with verbs get/list/watch. Log access still fails. What's missing?","pods/log is a separate resource (a subresource) from pods. Granting access to pods does not include access to pods/log — it must be listed explicitly in the resources array.","rbac-fundamentals,policyrule,subresources,ckad-application-environment-configuration-security"
"What's the practical difference between a Role and a ClusterRole with an identical rules block?","A Role is scoped to the namespace it's created in and can never grant access outside it, even with an overly broad rule. A ClusterRole with the same rules, if bound via ClusterRoleBinding, grants that access across every namespace including kube-system.","rbac-fundamentals,role,clusterrole,cka-cluster-architecture-installation-configuration"
"Why does RBAC have no explicit deny rule type?","RBAC is designed as strictly additive — effective permissions are the union of every applicable Role/ClusterRole grant. There's no mechanism to subtract from that union; you can only reduce access by removing or narrowing the grant that created it.","rbac-fundamentals,rbac-model,cka-cluster-architecture-installation-configuration"
"You edit a RoleBinding's roleRef to point at a different Role. What happens?","Nothing changes — roleRef is immutable after creation. The API server rejects the edit. You must delete and recreate the RoleBinding to change which Role it references.","rbac-fundamentals,rolebinding,immutability,cka-cluster-architecture-installation-configuration"
"kubectl auth can-i delete pods -n ci --as=alice returns yes. Does this guarantee alice's delete request will actually succeed?","No. can-i only evaluates the Authorization stage. Admission Control (quotas, validating webhooks, Pod Security Admission) runs afterward and can still reject the request for reasons unrelated to RBAC.","rbac-fundamentals,can-i,admission-control,cka-troubleshooting,ckad-application-environment-configuration-security"
"What does the --as flag on kubectl auth can-i actually do under the hood?","It triggers Kubernetes' impersonation feature — a real API-server-side mechanism gated by the impersonate verb on your own identity. The API server evaluates the request as if the impersonated identity made it, not just as a client-side filter.","rbac-fundamentals,impersonation,can-i,cka-troubleshooting"
"A RoleBinding named ci-pipeline-pod-log-reader is created in namespace default, but the Role pod-log-reader lives in namespace ci. What happens when you apply the RoleBinding?","It fails immediately at apply time with NotFound — a RoleBinding's roleRef lookup is scoped to its own namespace, so a same-named Role in a different namespace is invisible to it, even though it exists elsewhere in the cluster.","rbac-fundamentals,rolebinding,namespace-scope,cka-cluster-architecture-installation-configuration"
