#deck:k8s-platform-labs::02-deployments::01-basic-deployment
#separator:Comma
#columns:Front,Back,Tags
"Does a Deployment ever create or delete a Pod directly?","No — it manages a ReplicaSet, which manages Pods. It's a strict two-hop chain, not one controller doing everything","demo01-deployments,deployments,cka-workloads-scheduling"
"What is pod-template-hash and where does it come from?","A hash computed from the pod template by the Deployment controller, added to the ReplicaSet's name, selector, and every Pod it creates","demo01-deployments,internals,pod-template-hash,cka-workloads-scheduling"
"Why does a ReplicaSet's selector include pod-template-hash when the Deployment's own selector doesn't?","So the ReplicaSet only claims the Pods it actually created, even though the Deployment's broader selector (e.g. app: nginx) could otherwise match Pods from a different ReplicaSet too","demo01-deployments,internals,pod-template-hash,cka-workloads-scheduling"
"Which controller actually recreates a manually deleted pod under a Deployment?","The ReplicaSet controller, not the Deployment controller — it reconciles actual Pod count against spec.replicas","demo01-deployments,self-healing,cka-workloads-scheduling"
"When would you use matchExpressions instead of matchLabels?","Only when you need NotIn, Exists, or DoesNotExist — matchLabels can't express any of those","demo01-deployments,selectors,ckad-application-design-build"
"Is spec.selector mutable on an existing Deployment?","No — it's immutable, same rule as several Pod fields. Fix is always delete-and-recreate, never patch","demo01-deployments,deployments,immutability,ckad-application-deployment"
"What mechanism makes deleting a Deployment cascade to its ReplicaSet and Pods?","Owner references — the ReplicaSet declares the Deployment as its owner, and each Pod declares the ReplicaSet as its owner","demo01-deployments,owner-references,cka-workloads-scheduling"
"What does kubectl scale deployment --replicas=N actually change?","Only the Deployment's spec.replicas — the Deployment controller copies that number to the ReplicaSet, which is what actually creates/deletes Pods","demo01-deployments,scaling,cka-workloads-scheduling"
"Does replicas: 0 delete the Deployment itself?","No — it deletes all Pods but keeps the Deployment object and configuration intact","demo01-deployments,scaling,ckad-application-deployment"
"What must spec.template.metadata.labels satisfy?","spec.selector — otherwise the Deployment is rejected outright at apply time with a schema validation error","demo01-deployments,selectors,ckad-application-design-build"
"Why does a Deployment use apiVersion: apps/v1 while a Pod uses apiVersion: v1?","Core, foundational types (Pod, Service, Namespace) live in the core/v1 group; controller types that manage other objects (Deployment, ReplicaSet, StatefulSet, DaemonSet) live in the separate apps group","demo01-deployments,apiversion,cka-cluster-architecture-installation-configuration"
"A pod name is nginx-deploy-85f7d4dd78-29r6g. What do the two suffixes mean?","85f7d4dd78 is the ReplicaSet's pod-template-hash (shared by every sibling pod); 29r6g is a separate random suffix generated per-pod purely for name uniqueness","demo01-deployments,internals,pod-template-hash,cka-workloads-scheduling"
"Does kubectl get all include ConfigMaps, Secrets, or Ingress objects?","No — it only covers a fixed set of common namespaced types (Pods, Services, Deployments, ReplicaSets, etc.); ConfigMaps/Secrets/Ingress/PVCs must be queried individually","demo01-deployments,kubectl-get-all,cka-cluster-architecture-installation-configuration"
"Can kubectl logs and kubectl exec target a Deployment directly instead of a specific pod?","Yes — kubectl resolves deployment/name to the ReplicaSet and picks one arbitrary pod from it; useful when you don't care which specific replica, but not for comparing or isolating one pod","demo01-deployments,debugging,ckad-application-observability-maintenance"
"Which namespace does the built-in service/kubernetes ClusterIP actually live in?","Only the default namespace — it's not present cluster-wide or in every namespace's kubectl get all output","demo01-deployments,kubectl-get-all,cka-cluster-architecture-installation-configuration"
"How does kubectl rollout restart differ from kubectl scale?","rollout restart recreates every existing pod with the same template (same pod-template-hash) via a restart-timestamp annotation; scale only changes the replica count, it never recreates existing pods","demo01-deployments,rollout,ckad-application-deployment"
"If you kubectl scale a Deployment's ReplicaSet directly, does it stick?","No — the Deployment controller reconciles the ReplicaSet's spec.replicas back to match the Deployment's own spec.replicas, typically within seconds","demo01-deployments,replicaset-ownership,cka-workloads-scheduling"
"What do the deployment.kubernetes.io/desired-replicas and max-replicas annotations on a ReplicaSet tell you?","They're written by the Deployment controller, not you — max-replicas is spec.replicas plus the rounded-up maxSurge, the same number behind RollingUpdateStrategy's defaults","demo01-deployments,replicaset-ownership,cka-workloads-scheduling"
