#deck:k8s-platform-labs::11-auto-scaling::02-hpa-advanced
#separator:Comma
#columns:Front,Back,Tags
"You have a pod with an app container and a sidecar. You apply an HPA with type: Resource targeting CPU, and the sidecar starts using heavy CPU. What happens, and why?","The HPA may scale up even though app load has not changed. Resource type sums CPU usage across ALL containers vs the sum of their requests — the sidecar spike raises pod-level utilisation and can trigger scaling driven by sidecar activity, not app demand.","02-hpa-advanced,hpa,containerresource"
"How do you configure an HPA to scale based only on the app container CPU, ignoring a noisy sidecar?","Use type: ContainerResource with containerResource.container: app (plus name: cpu and a target block). Stable since Kubernetes v1.30, works with metrics-server alone — no adapter needed.","02-hpa-advanced,hpa,containerresource,syntax"
"What does kubectl describe hpa show in the Metrics section for a ContainerResource HPA vs a Resource HPA?","ContainerResource: resource cpu on container app (as a percentage of request): X% / 50%. Resource: resource cpu on pods (as a percentage of request): X% / 50%. The wording difference confirms which scope the metric covers.","02-hpa-advanced,hpa,containerresource,commands"
"An HPA has behavior.scaleUp.policies: [{type: Percent, value: 100, periodSeconds: 30}]. Metric suggests desired 8 replicas, current is 1. After the first 30-second evaluation, how many replicas?","2 — not 8. A Percent policy caps the step at 100% of the CURRENT replica count per period (1 to 2). Reaching 8 takes multiple periods: 1, 2, 4, 8.","02-hpa-advanced,hpa,behavior,percent"
"01-hpa-basic scaleUp policy was {type: Pods, value: 4, periodSeconds: 15}. Starting from 1 replica with high demand, how does its growth pattern differ from Percent value: 100?","Pods value: 4 is linear — adds at most 4 per period (1, 5, 9...). Percent value: 100 is relative — at most doubles per period (1, 2, 4, 8...). Percent grows faster at large replica counts, slower at small ones.","02-hpa-advanced,hpa,behavior,percent,pods"
"behavior.scaleUp.stabilizationWindowSeconds is set to 300. Manifest applies with no errors. HPA metric shows high CPU but replica count does not increase for 5 minutes. What is wrong?","300 is the scale-down default copy-pasted into scaleUp by mistake. Valid YAML, applies cleanly, no error message. Fix: set scaleUp.stabilizationWindowSeconds to 0 (the scale-up default) or remove it.","02-hpa-advanced,break-fix,behavior"
"kubectl describe hpa shows resource cpu on pods: unknown / 50%. kubectl top pod shows the main container using CPU normally. Most likely cause?","At least one container in the pod is missing resources.requests.cpu. For Resource-type HPA, if ANY container lacks the cpu request the WHOLE pod metric becomes unknown — not just that container's share. Confirm with kubectl describe deployment for every container's Requests block.","02-hpa-advanced,break-fix,unknown-metric"
"What command shows per-container CPU and memory within a multi-container pod, not just pod-level totals?","kubectl top pod --containers — breaks down kubectl top pod output by container, essential for diagnosing whether an HPA should use Resource or ContainerResource.","02-hpa-advanced,commands,diagnostics"
"What is the Custom Metrics API, and which HPA metric types depend on it?","custom.metrics.k8s.io — an API group HPA queries for application-level metrics not provided by metrics-server. The Pods and Object HPA metric types both read from this API and require a metrics adapter (e.g. Prometheus Adapter). metrics-server does not serve it.","02-hpa-advanced,custom-metrics-api"
"What is the difference between the Pods and Object HPA metric types, given both use the Custom Metrics API?","Pods: per-pod custom metric averaged across all pods of the target — HPA divides total demand by per-pod target. Object: single metric read from one specific Kubernetes object (e.g. total Ingress request rate) compared directly against the target — no per-pod averaging.","02-hpa-advanced,custom-metrics-api,pods-object"
"What is the External Metrics API, and give an example use case for the External HPA metric type.","external.metrics.k8s.io — an API group for metrics with NO associated Kubernetes object. Example: scaling a worker Deployment based on AWS SQS queue depth exposed via a metrics adapter.","02-hpa-advanced,external-metrics-api"
"Does metrics-server have any role in serving the Custom Metrics API or External Metrics API?","No. metrics-server only serves metrics.k8s.io (used by Resource and ContainerResource). custom.metrics.k8s.io and external.metrics.k8s.io are served entirely by separately-installed metrics adapters.","02-hpa-advanced,custom-metrics-api,external-metrics-api,metrics-server"
"Name two metrics adapter examples and where their hands-on setup is covered.","Prometheus Adapter (generic, PromQL-based) — hands-on in later Prometheus Adapter demos in this series (minikube). KEDA and CloudWatch-based adapters (AWS-native) — hands-on in aws-eks-demos. Note: CloudWatch Metrics Adapter is archived; KEDA SQS scaler is the recommended replacement.","02-hpa-advanced,adapters,forward-reference"
"Does ContainerResource require a custom metrics adapter like Pods/Object/External do?","No. ContainerResource, like Resource, is served by metrics-server alone. Only Pods, Object, and External require a separate adapter.","02-hpa-advanced,containerresource,metrics-server"
"Which HPA metric type should you reach for first when scaling on CPU or memory, and why?","Resource (or ContainerResource if one container's usage should be isolated) — both work with metrics-server alone, no extra components. Reach for Pods/Object/External only when the scaling signal is application-level or external.","02-hpa-advanced,decision-framework"
"A multi-container pod has app (web server) and sidecar (log shipping spikes). You want HPA to scale on web server load only. Which type and which field identifies the target container?","ContainerResource, with containerResource.container: app (plus name: cpu and a target block).","02-hpa-advanced,containerresource,syntax"
"(CKA) An HPA behavior.scaleUp.policies includes {type: Percent, value: 100, periodSeconds: 30}. True or false: load justifying 8 replicas brings the Deployment to 8 within the first 30-second evaluation.","False. Percent policies cap the step relative to the CURRENT count, not the desired one. From 1 replica, first window allows at most 1 to 2; reaching 8 takes multiple windows (1, 2, 4, 8).","02-hpa-advanced,cka-domain2,percent"
"(CKA) kubectl describe hpa reports unknown for a Resource-type CPU metric on a 2-container pod. One container has resources.requests.cpu set; the other does not. What is the pod metric value and why?","unknown for the whole pod — not partial. Resource-type HPA requires a CPU request on EVERY container; if any container lacks it the entire metric is unavailable.","02-hpa-advanced,cka-domain5,unknown-metric"
