#deck:k8s-platform-labs::03-services::01-clusterip-nodeport
#separator:Comma
#columns:Front,Back,Tags
"What problem do Services solve for pod IPs?","Pods are ephemeral and get new IPs on restart — a Service gives a stable IP and DNS name that never changes regardless of what happens to underlying pods","demo01-services,services,cka-services-networking"
"What's the difference between port and targetPort?","port is what clients use to reach the Service; targetPort is what the application actually listens on inside the container","demo01-services,port-targetport,cka-services-networking"
"Does NodePort create a ClusterIP automatically?","Yes — every NodePort Service also gets a ClusterIP, visible in kubectl get svc's CLUSTER-IP column","demo01-services,nodeport,cka-services-networking"
"What is the default NodePort range and why?","30000-32767 — reserved to avoid colliding with well-known ports (0-1023) and typical ephemeral ports (32768+)","demo01-services,nodeport,cka-services-networking"
"Is a NodePort only opened on nodes that actually run matching pods?","No — it's opened on every node in the cluster, regardless of where the matching pods actually run","demo01-services,nodeport,cka-services-networking"
"What happens if a Service selector has a typo?","It's valid YAML and silently matches zero pods — no error, check kubectl get endpoints and kubectl get pods --show-labels","demo01-services,troubleshooting,cka-troubleshooting"
"Does a port/targetPort swap show up as an error in kubectl describe svc?","No — the Service looks correctly configured; requests just silently fail to reach anything listening, since describe doesn't validate against what the container actually listens on","demo01-services,troubleshooting,cka-troubleshooting"
"Why does EXTERNAL-IP show <none> for a NodePort service?","NodePort doesn't provision an external load balancer, it only opens a port per node — EXTERNAL-IP only populates for LoadBalancer type","demo01-services,nodeport,cka-services-networking"
"Does a pod need to be Ready to become a Service Endpoint?","Yes — matching the selector alone isn't sufficient; only Ready pods are added to Endpoints","demo01-services,endpoints,cka-services-networking"
"What does nameserver 10.96.0.10 in a pod's /etc/resolv.conf point to?","CoreDNS's own Service IP (kube-dns, in kube-system) — every DNS query from any pod goes there first","demo01-services,dns,cka-services-networking"
"Why does 'backend-svc' resolve without a full FQDN inside a pod?","The search domains in resolv.conf get tried as suffixes before falling back to external DNS — this is what makes the short name work at all","demo01-services,dns,cka-services-networking"
"If you run kubectl expose deployment X --port=80 without --target-port, what does targetPort default to?","The same value as port — --target-port only needs to be set when the container listens on a different port","demo01-services,imperative,ckad-application-deployment"
"What Service type does kubectl expose default to if --type isn't specified?","ClusterIP","demo01-services,imperative,ckad-application-deployment"
"If you scale a Deployment from 3 to 1 replica, do you need to update its Service?","No — the Service's Endpoints list is recomputed automatically from the selector; nothing about the Service itself needs to change","demo01-services,endpoints,cka-services-networking"
"What does the TPS mnemonic stand for in a Service spec?","Type, Ports, Selector — the three field groups that define a Service","demo01-services,service-fields,cka-services-networking"
"Does LoadBalancer build on top of NodePort the same way NodePort builds on ClusterIP?","Yes — LoadBalancer automatically creates a NodePort and ClusterIP too, continuing the same nested pattern","demo01-services,service-types,cka-services-networking"
"Can you pin a Service's nodePort to a specific number using only kubectl expose flags?","No — kubectl expose has no flag for it; you must set spec.ports[].nodePort explicitly in YAML (or --dry-run=client -o yaml, then edit)","demo01-services,imperative,nodeport,ckad-application-deployment"
"If every backend pod returns an identical response, does that prove load balancing isn't happening?","No — it just means you can't tell from response content alone; you need distinguishing data per pod (e.g. pod name/hostname in the response) to actually verify load balancing is occurring","demo01-services,load-balancing,debugging,cka-troubleshooting"
"What does IP Family Policy: SingleStack mean on a Service?","The Service uses only one IP family (IPv4 or IPv6), not both at once — dual-stack Services exist via PreferDualStack/RequireDualStack instead, which this demo's cluster isn't configured for","demo01-services,networking,dual-stack,cka-services-networking"
