#deck:k8s-platform-labs::03-services::06-loadbalancer-traffic-policies
#separator:Comma
#columns:Front,Back,Tags
"Does minikube tunnel provision a real cloud load balancer?","No — it simulates one via a network route on your own machine to the cluster's service network; genuinely working EXTERNAL-IP, but not a real cloud load balancer","demo06-services,loadbalancer,minikube,cka-services-networking"
"Why does externalTrafficPolicy: Cluster lose the real client IP?","Cross-node routing requires SNAT'ing the source IP to the receiving node's own address so return traffic can find its way back — the pod only ever sees the node's IP","demo06-services,externaltrafficpolicy,cka-services-networking"
"What's the trade-off of externalTrafficPolicy: Local?","Preserves the real client IP, but traffic to a node with no local matching pod is simply dropped, not forwarded elsewhere","demo06-services,externaltrafficpolicy,cka-services-networking"
"What is healthCheckNodePort for?","Auto-allocated when externalTrafficPolicy: Local is set on a LoadBalancer Service — lets a real external load balancer learn which nodes have local endpoints, avoiding nodes that would drop traffic","demo06-services,externaltrafficpolicy,cka-services-networking"
"What does sessionAffinity: ClientIP change about Service routing?","Pins a given source IP to the same pod for a configurable window, instead of independently load-balancing every request","demo06-services,sessionaffinity,cka-services-networking"
"Is sessionAffinity cookie-based or IP-based at the plain Service level?","IP-based only — cookie or header-based affinity needs an Ingress controller or service mesh, not available on a plain Service","demo06-services,sessionaffinity,cka-services-networking"
"What's the difference between externalTrafficPolicy and internalTrafficPolicy?","externalTrafficPolicy governs traffic from outside the cluster and controls source-IP preservation via SNAT; internalTrafficPolicy governs pod-to-pod ClusterIP traffic and is purely about reducing cross-node hops, no SNAT concern","demo06-services,internaltrafficpolicy,cka-services-networking"
"When does a Service require named ports?","Once spec.ports[] has more than one entry — every port needs a unique name, or the apply is rejected outright","demo06-services,multiport,ckad-application-deployment"
"A NodePort Service with externalTrafficPolicy: Local times out from every single node. What's the likely real cause?","Not the traffic policy itself — check kubectl get endpointslices first; a selector matching zero pods anywhere produces this exact symptom","demo06-services,troubleshooting,cka-troubleshooting"
"What's the default timeout for sessionAffinity: ClientIP if sessionAffinityConfig isn't set?","10800 seconds (3 hours) — a client stays pinned to the same pod for that long since its last request","demo06-services,sessionaffinity,cka-services-networking"
