#deck:k8s-platform-labs::02-deployments::02-rolling-update-recreate
#separator:Comma
#columns:Front,Back,Tags
"When a rolling update happens, does the existing ReplicaSet get mutated in place?","No — a new ReplicaSet is created with a new pod-template-hash; the old one scales down to 0 rather than being changed","demo02-deployments,rolling-update,pod-template-hash,ckad-application-deployment"
"What does maxSurge control?","How many extra pods beyond the desired replica count can exist during a rollout","demo02-deployments,rolling-update,ckad-application-deployment"
"What does maxUnavailable: 0 actually guarantee?","Zero downtime, but only if new pods actually pass readiness — without a real readiness probe, Ready happens the instant the container starts","demo02-deployments,rolling-update,readiness,ckad-application-deployment"
"Why might a rollout with maxSurge:1 stall indefinitely?","The surge pod is scheduled like any other pod — if its resource requests can't be satisfied by any node, it never schedules and the rollout never progresses","demo02-deployments,rolling-update,scheduling,cka-workloads-scheduling"
"Does kubectl rollout undo restore the old revision number, or create a new one?","It creates a new revision copying the old configuration forward — the old revision number disappears from history","demo02-deployments,rollback,ckad-application-deployment"
"What happens if you kubectl rollout undo --to-revision=N and N doesn't exist?","kubectl fails outright: 'error: unable to find specified revision N in history'","demo02-deployments,rollback,ckad-application-deployment"
"What bounds how far back you can roll back a Deployment?","spec.revisionHistoryLimit (default 10) — revisions beyond that are pruned and can no longer be targeted","demo02-deployments,rollback,revisionhistorylimit,ckad-application-deployment"
"Is the --record flag still safe to rely on for tracking change-cause?","No — officially deprecated per the Kubernetes documentation, and current kubectl versions may already reject it outright as an unrecognized flag. Use the kubernetes.io/change-cause annotation directly instead","demo02-deployments,change-cause,ckad-application-deployment"
"What does kubectl rollout pause actually freeze?","The Deployment controller stops acting on further template changes mid-rollout, leaving a mix of old and new pods until resumed","demo02-deployments,pause-resume,ckad-application-deployment"
"What's the practical difference between RollingUpdate and Recreate strategies?","RollingUpdate replaces pods gradually with no downtime (if configured well); Recreate kills all old pods first, then creates new ones, causing a downtime window","demo02-deployments,strategy,ckad-application-deployment"
"Does kubectl rollout restart only work under the RollingUpdate strategy, and does it leave the pod template unchanged?","No to both — it follows whichever strategy is currently configured (RollingUpdate or Recreate), and it does change the template by adding a restartedAt annotation, which is exactly what triggers the rollout","demo02-deployments,rollout-restart,ckad-application-deployment"
"If you apply a second Deployment update while the first rollout is still in progress, does Kubernetes wait?","No — this is Rollover. A new ReplicaSet is created immediately from the new template, while the previously-newest ReplicaSet is rolled into the old list and scaled down alongside the rest","demo02-deployments,rollover,ckad-application-deployment"
"If you scale a Deployment mid-rollout, do all new replicas go to the newest ReplicaSet?","No — proportional scaling distributes the additional replicas across every ReplicaSet still in play, weighted by current share","demo02-deployments,proportional-scaling,cka-workloads-scheduling"
"Can maxSurge and maxUnavailable both be set to 0?","No — rejected outright by the API, since that combination would leave a rollout with no way to ever make progress","demo02-deployments,rollout-parameters,cka-workloads-scheduling"
"Does ProgressDeadlineExceeded trigger an automatic rollback?","No — it's purely a reported condition on the Deployment; the stalled ReplicaSet stays exactly as stuck as it was until you intervene manually","demo02-deployments,progress-deadline,ckad-application-deployment"
"What does spec.strategy.type: Recreate actually guarantee?","Old pods are all terminated before any new pod is created — no overlap between old and new, ever","demo02-deployments,recreate,ckad-application-deployment"
"Does spec.strategy.rollingUpdate have any effect when type is Recreate?","No — it's accepted by the schema but silently ignored; maxSurge/maxUnavailable are RollingUpdate-only fields","demo02-deployments,recreate,ckad-application-deployment"
"Under Recreate, can two ReplicaSets ever both have nonzero replicas at once?","No — the old ReplicaSet always reaches 0 before the new one starts scaling up, unlike RollingUpdate where both briefly coexist","demo02-deployments,recreate,pod-template-hash,cka-workloads-scheduling"
"A bad image is deployed under Recreate. What happens to availability?","Full outage — the old ReplicaSet has already scaled to 0 before the new, broken ReplicaSet fails to become Ready, leaving no fallback pod","demo02-deployments,recreate,break-fix,ckad-application-deployment"
"Does kubectl rollout undo behave differently depending on the current strategy?","The mechanism (revision history, undo target) is identical either way — but a Recreate rollback still goes through a full terminate-then-create cycle, unlike a RollingUpdate rollback","demo02-deployments,rollback,recreate,ckad-application-deployment"
"When is Recreate actually the right strategy choice?","When two versions genuinely can't coexist (e.g. a breaking DB migration), or in dev/test environments where downtime is a non-issue and configuration simplicity matters more","demo02-deployments,recreate,ckad-application-deployment"
"How does a bad-image rollout differ in outcome between RollingUpdate (maxUnavailable:0) and Recreate?","RollingUpdate stays fully available since old pods are never removed until a replacement is Ready; Recreate causes a full outage since the old ReplicaSet is already gone","demo02-deployments,strategy-comparison,break-fix,ckad-application-deployment"
