#deck:k8s-platform-labs::11-auto-scaling::04-keda-fundamentals
#separator:Comma
#columns:Front,Back,Tags
"HPA requires minReplicas >= 1 by default. How does KEDA enable scale-to-zero when HPA cannot?","KEDA Operator monitors the scaler independently. When the trigger is inactive AND cooldownPeriod has elapsed, KEDA Operator directly patches Deployment.spec.replicas=0, bypassing HPA. Scale-from-zero: Operator polls the trigger at 0 replicas; when it activates, Operator patches to minReplicaCount; then HPA takes over for 1->N.","04-keda-fundamentals,architecture,scale-to-zero"
"Does KEDA replace HPA?","No. KEDA creates and manages HPA objects. HPA still reconciles pod count via the standard Kubernetes loop. KEDA adds: (1) scale-to-zero by direct Deployment patching, (2) scale-from-zero by polling at 0 replicas, (3) 50+ built-in scalers via its Metrics Server.","04-keda-fundamentals,architecture"
"What is a ScaledObject, and what does the KEDA Operator create from it?","ScaledObject (keda.sh/v1alpha1) is the primary KEDA CRD. It references a scaleTargetRef (Deployment), triggers, minReplicaCount, maxReplicaCount, pollingInterval, cooldownPeriod. KEDA Operator creates a corresponding HPA (named keda-hpa-<scaledobject-name>) that uses KEDA Metrics Server as its External metric source.","04-keda-fundamentals,scaledobject,architecture"
"A ScaledObject already exists on a Deployment. Someone then applies a manual HPA on the same Deployment. Is the manual HPA's apply rejected immediately?","No. KEDA's admission webhook only validates KEDA-native resources. A plain HPA is not a KEDA resource, so it applies successfully even though it conflicts. The conflict only surfaces afterward as AmbiguousSelector at the ordinary HPA-controller level -- both HPAs then stop functioning.","04-keda-fundamentals,break-fix,conflict,admission-webhook"
"A manual HPA already exists on a Deployment. Someone then tries to create a ScaledObject targeting the same Deployment. Is that apply rejected?","Yes -- this is the reverse order from the more common break-fix scenario. KEDA's admission webhook DOES validate a new ScaledObject being created against an existing conflicting HPA (or ScaledObject), and rejects it at apply time. Creation order determines whether a conflict is caught immediately or only surfaces later.","04-keda-fundamentals,admission-webhook,conflict-detection,order-matters"
"A ScaledObject's cron window closed 2 minutes ago but pods are still running. Is this a bug?","No -- cooldownPeriod (default 300s) is a flat, unconditional delay after a trigger deactivates, applied even when the deactivation signal (like a cron window closing) is completely unambiguous. Check cooldownPeriod before assuming a defect.","04-keda-fundamentals,cooldownperiod,break-fix"
"What is the difference between pollingInterval and cooldownPeriod?","pollingInterval (default 30s): how often KEDA queries the event source -- affects reaction latency in both directions (Loop 1). cooldownPeriod (default 300s): only applies on the way to zero -- how long KEDA waits after the last active reading before actually scaling to 0. There is no equivalent delay on the way from zero to active.","04-keda-fundamentals,timing,scaledobject"
"Why doesn't the Cron scaler need a TriggerAuthentication?","Cron scales purely against the system clock -- there's no external event source to authenticate to. TriggerAuthentication is only needed for scalers that connect to a real backend (Redis, Kafka, cloud APIs, etc.).","04-keda-fundamentals,cron-scaler,triggerauthentication"
"What KEDA CRD would you use for batch processing (one Job per unit of work) vs long-running queue consumer (Deployment)?","ScaledJob for batch/run-to-completion: each trigger fires a Kubernetes Job that processes one unit of work and completes. ScaledObject for long-running Deployment: the Deployment scales up/down continuously, never completing.","04-keda-fundamentals,scaledjob,scaledobject"
"What is the scale-from-zero sequence in KEDA?","1. Deployment at 0 replicas; HPA suspended. 2. KEDA Operator polls the trigger every pollingInterval. 3. Trigger activates. 4. KEDA Operator patches Deployment to minReplicaCount. 5. Pod starts; HPA activates and calculates desired replicas. 6. HPA scales from 1 to N based on the metric.","04-keda-fundamentals,scale-from-zero,architecture"
"Does KEDA implement custom.metrics.k8s.io?","No. KEDA implements ONLY external.metrics.k8s.io, for every one of its 50+ scalers, regardless of whether the underlying metric is conceptually per-pod or per-object. This is why KEDA cannot provide the native per-pod averaging that the Prometheus Adapter's type: Pods gives you.","04-keda-fundamentals,architecture,custom-metrics"
"Why isn't KEDA's Prometheus scaler really in competition with the Prometheus Adapter?","They solve different problems in practice. Adapter's real value is Custom metrics (Pods/Object) tied to Kubernetes objects with native per-pod averaging -- something KEDA cannot do. KEDA's real value for Prometheus-sourced metrics is when you'd otherwise use Adapter's rarely-used external: rule type -- KEDA does the same job with a single raw PromQL query field instead of a 4-field ConfigMap rule, plus native scale-to-zero.","04-keda-fundamentals,prometheus-scaler,comparison"
"You kubectl get hpa and see keda-hpa-worker-cron-scaler. Who created it and can you edit it?","KEDA Operator created it automatically when a ScaledObject targeting the worker Deployment was applied. Do NOT edit or delete it directly -- KEDA will overwrite any changes and will recreate it if deleted. Manage scaling by editing the ScaledObject instead.","04-keda-fundamentals,scaledobject,hpa"
"A ScaledObject shows READY=True but ACTIVE=False. What does this mean?","READY=True: KEDA can reach the event source and the target Deployment exists. ACTIVE=False: the trigger's current condition is not met (e.g. outside a cron window, or queue below activationThreshold). This is expected when there's genuinely no work, not an error.","04-keda-fundamentals,troubleshooting,status"
