#deck:k8s-platform-labs::04-configmaps-secrets::01-configmaps
#separator:Comma
#columns:Front,Back,Tags
"When is binaryData required instead of data?","When the content is genuinely binary and would be corrupted by UTF-8 handling — e.g. a DER-format certificate or compiled protobuf schema. PEM certs are text and belong in data.","demo01-cms,configmaps,ckad-application-environment-configuration-security"
"Can the same key exist in both data and binaryData on one ConfigMap?","No — the API server rejects this as a duplicate key overlap between the two fields.","demo01-cms,configmaps,ckad-application-design-build"
"What does immutable: true actually eliminate at the control-plane level?","The kubelet watch connection for that ConfigMap on every node consuming it — at scale this measurably reduces API server goroutine count, memory, and event load.","demo01-cms,configmaps,immutable,cka-cluster-architecture-installation-configuration"
"What is the ConfigMap size limit, and what's included in it?","1 MiB total, combining all data and binaryData values together — enforced by the API server at creation and update time.","demo01-cms,configmaps,ckad-application-design-build"
"Do envFrom-loaded ConfigMap values ever update in a running container?","No — never, regardless of how long you wait. The container runtime bakes the value into the process environment once at start; only a pod restart picks up a change.","demo01-cms,configmaps,update-propagation,ckad-application-environment-configuration-security"
"Do volume-mounted ConfigMap values update in a running container?","Yes — eventually, within one kubelet syncFrequency window (effective default 1 minute), via an atomic symlink swap, with no pod restart needed.","demo01-cms,configmaps,update-propagation,ckad-application-environment-configuration-security"
"Why does kubelet use a two-level ..data symlink instead of overwriting the file directly?","A direct overwrite isn't atomic — a reader could see a half-written file. The two-level chain lets kubelet write new content to a fresh directory, then atomically rename() the ..data symlink to point at it.","demo01-cms,configmaps,symlink-chain,cka-troubleshooting"
"Can envFrom rename a ConfigMap key when injecting it as an env var?","No — only env.valueFrom.configMapKeyRef supports renaming; envFrom always uses the ConfigMap's key name as-is.","demo01-cms,configmaps,ckad-application-environment-configuration-security"
"If optional: true and the referenced ConfigMap/key is missing, is the env var set to an empty string?","No — it's absent entirely, not present-with-empty-value. printenv on it returns nothing and a non-zero exit code.","demo01-cms,configmaps,optional-field,ckad-application-environment-configuration-security"
"Does $(VAR_NAME) substitution in command/args see variables loaded via envFrom?","No — it only sees variables explicitly declared in the same env[] list; envFrom-loaded variables are invisible to it.","demo01-cms,configmaps,var-substitution,ckad-application-design-build"
"Is $(VAR_NAME) shell substitution or Kubernetes substitution?","Kubernetes substitution — it happens on the raw command string before the container runtime ever sees it, which is why it also works in exec-form commands with no shell at all.","demo01-cms,configmaps,var-substitution,ckad-application-design-build"
"What happens if a pod references a nonexistent ConfigMap without optional: true?","The pod is stuck in CreateContainerConfigError, retrying indefinitely, until the ConfigMap is created — no manual pod restart is needed once it exists.","demo01-cms,configmaps,troubleshooting,cka-troubleshooting"
"Why does a subPath-mounted ConfigMap file never get live updates?","subPath bind-mounts the file directly into the container, bypassing the ..data/ symlink chain entirely — the atomic rename() that updates ..data never touches a bind-mounted file.","demo01-cms,configmaps,subpath,cka-troubleshooting"
