#deck:k8s-platform-labs::12-rbac::02-rbac-discovery-and-verbs
#separator:Comma
#columns:Front,Back,Tags
"Does kubectl api-resources, at any verbosity level, list a resource's subresources?","No. Not even with -o wide. Subresources only appear in the raw API discovery documents (kubectl get --raw /api/v1 or /apis/<group>/<version>), filtered for names containing a slash.","rbac-discovery,api-resources,subresources,cka-cluster-architecture-installation-configuration"
"kubectl api-resources -o wide shows 'delete' in the VERBS column for pods. Does this mean a given Role grants delete access to Pods?","No. That column is a fixed, cluster-wide property of what the resource type supports at the API level — the ceiling of what's grantable. What any specific Role actually grants depends entirely on that Role's own verbs list.","rbac-discovery,api-resources,verbs,cka-troubleshooting"
"A Role grants get, list, and watch on pods. Does this grant kubectl exec access?","No. kubectl exec requires create on the pods/exec subresource, which is a separate resource from pods for RBAC purposes. No verb combination on the parent implies anything about a subresource.","rbac-discovery,exec,subresources,cka-troubleshooting,ckad-application-environment-configuration-security"
"What two permissions does kubectl exec actually require?","get on pods (to resolve the target Pod) AND create on the pods/exec subresource (the exec session itself). Both are required; neither implies the other.","rbac-discovery,exec,subresources,ckad-application-environment-configuration-security"
"Does kubectl run --image=nginx create a Deployment or a Pod, and what does that mean for RBAC?","It always creates a bare Pod directly, never a Deployment, regardless of the command name. It requires create on pods (core group) — create access on deployments is unrelated.","rbac-discovery,run,verbs,ckad-application-environment-configuration-security"
"How do you find a resource's subresources when kubectl api-resources doesn't show them?","Query the raw API discovery document directly: kubectl get --raw /api/v1 for the core group, or kubectl get --raw /apis/<group>/<version> for a named group, then filter .resources[].name for entries containing a slash.","rbac-discovery,api-resources,subresources,cka-cluster-architecture-installation-configuration"
"The raw API discovery document shows pods/log has verbs: [\"get\"] only — no list or watch. Why would a subresource support fewer verbs than its parent?","Some subresources represent operations that only make sense as a single-object fetch — you can't list or watch the log stream of an unspecified Pod, only get the log of one named Pod. The discovery document reflects exactly what that subresource supports.","rbac-discovery,subresources,verbs,cka-troubleshooting"
"kubectl api-resources --namespaced=false lists a resource you need to grant access to. Can a Role express that grant?","No. A Role can never grant access to a cluster-scoped resource, regardless of how the PolicyRule is written — that requires a ClusterRole + ClusterRoleBinding instead.","rbac-discovery,api-resources,role-vs-clusterrole,cka-cluster-architecture-installation-configuration"
"Does kubectl explain show a resource's subresources or supported verbs?","No. kubectl explain documents a resource's spec fields (what goes inside the YAML) — it does not list subresources or verbs. Use the raw API for that instead.","rbac-discovery,kubectl-explain,subresources,cka-troubleshooting"
"In kubectl api-resources output, how do you determine what goes in a PolicyRule's apiGroups field from the APIVERSION column?","Split APIVERSION at the slash — everything before the slash is the apiGroups value. The core group's row shows just a bare version (e.g. v1) with nothing before a slash, because apiGroups for it is the empty string.","rbac-discovery,api-resources,apigroups,cka-cluster-architecture-installation-configuration"
"A PolicyRule uses resources: [\"po\"] intending to grant access to Pods, since po is the SHORTNAMES value kubectl accepts. Does this work?","No. resources always takes the full plural name from the NAME column — SHORTNAMES abbreviations like po are a kubectl CLI convenience only, never valid in a PolicyRule. resources: [\"po\"] matches nothing.","rbac-discovery,api-resources,shortnames,cka-cluster-architecture-installation-configuration"
"What does the CATEGORIES column in kubectl api-resources -o wide actually group, and does it have any RBAC meaning?","It groups resources into named collections kubectl recognizes for bulk operations — most commonly all, which is exactly what kubectl get all expands to. It's a client-side convenience grouping only; a PolicyRule can never reference a category directly.","rbac-discovery,api-resources,categories,cka-cluster-architecture-installation-configuration"
"An identity has exactly get on pods and create on pods/exec. kubectl exec deployment/web -- sh fails with Forbidden naming 'deployments' in the error. Is the exec grant wrong?","No. kubectl exec against a controller reference (deployment/web) must first resolve which Pod that Deployment owns, requiring get on deployments — a third, separate permission never granted here. kubectl exec against the literal Pod name would succeed; the exec grant itself is fine.","rbac-discovery,exec,controller-reference,cka-troubleshooting,ckad-application-environment-configuration-security"
"Do kubectl auth can-i create pods/exec and kubectl auth can-i create pods --subresource=exec always give the same answer?","Not confirmed — live testing showed them giving different answers (no vs yes) for the identical, confirmed-granted permission in the same session. This is an open, unexplained discrepancy; prefer the --subresource= flag form, which matched what can-i --list actually showed as granted.","rbac-discovery,can-i,syntax-discrepancy,cka-troubleshooting"
